id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,The answer accurately reflects the SLA details for ticket P1 as provided in the retrieved chunks.,5,"The answer directly provides the SLA for handling P1 tickets, including specific timeframes.",5,Retrieved: 1/1 expected sources,5,"The model answer includes both the initial response time of 15 minutes and the resolution time of 4 hours, covering all key points from the expected answer.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1], [2].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the 7-day timeframe for refund requests.,5,The answer directly states the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points in the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval requirements for Level 3 access as stated in the provided context.,5,The answer directly specifies who must approve the granting of Level 3 access.,5,Retrieved: 1/1 expected sources,5,Model answer includes all key points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền. Cụ thể, các sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription nằm trong danh sách ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,The answer accurately reflects the information from the retrieved chunks regarding the non-refundable status of digital products.,5,The answer directly addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the specific mention of digital products and the exceptions.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is directly supported by the information in chunk [1], which states that the account is locked after 5 consecutive failed login attempts.",5,directly answers the question with specific information,5,Retrieved: 1/1 expected sources,5,"The model answer fully matches the expected answer, including the specific number of failed login attempts.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer [3].
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay [2].

Ngoài ra, trong trường hợp cần thay đổi quyền hệ thống khẩn cấp, On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately summarizes the escalation process for P1 incidents and the emergency privilege escalation procedure, all of which are supported by the provided context.",5,"The answer provides a detailed and clear explanation of the escalation process for P1 incidents, directly addressing the question.",5,Retrieved: 1/1 expected sources,5,"Model answer covers all key points in the expected answer, including the automatic escalation to Senior Engineer if there is no response within 10 minutes.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information provided in chunk [1], stating that the document was previously named 'Approval Matrix for System Access'.",5,The answer directly provides the name of the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,2,The model answer mentions the old name of the document but does not include the new name 'Access Control SOP'.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên có thể làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period và phải được Team Lead phê duyệt lịch remote qua HR Portal [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in chunk [1] regarding remote work policy, including the maximum number of remote days and the requirement for Team Lead approval.",5,The answer directly states that employees can work remotely a maximum of 2 days per week.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, specifying the maximum number of remote days, the probation period condition, and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer 'Không đủ dữ liệu' does not align with the provided context, which contains specific information about the access control process and audit reviews.",1,The answer does not provide any information about ERR-403-AUTH or how to handle it.,,No expected sources,2,Model answer indicates insufficient data but does not mention the potential authentication issue or suggest contacting IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer 'Không đủ dữ liệu' does not address the specific refund policy details provided in the chunks, indicating a lack of relevant information.",1,The answer does not address the question about the process for urgent refunds for VIP customers.,5,Retrieved: 1/1 expected sources,1,Model answer does not address the question or provide any relevant information.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục (resolution) sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,The answer accurately reflects the SLA for ticket P1 as stated in the provided context.,5,"The answer directly provides the SLA for handling P1 tickets, including specific timeframes.",5,Retrieved: 1/1 expected sources,5,"Model answer includes both the initial response time of 15 minutes and the resolution time of 4 hours, matching the expected answer.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved chunks regarding the 7-day timeframe for refund requests.,5,directly answers the question with a specific timeframe,5,Retrieved: 1/1 expected sources,5,"The model answer fully matches the expected answer, covering all key points.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, yêu cầu phải có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval requirements for Level 3 access as stated in the provided context.,5,Câu trả lời cung cấp thông tin cụ thể về những ai cần phê duyệt để cấp quyền Level 3.,5,Retrieved: 1/1 expected sources,5,Model answer includes all key points from the expected answer.,variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác. Cụ thể, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không đủ điều kiện hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable unless there is a manufacturer defect, but it does not explicitly mention the 7-day requirement for refund requests.",5,The answer directly addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,4,"The model answer provides a clear statement about the non-refundability of digital products and mentions exceptions, but it introduces additional conditions that are not present in the expected answer.",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is directly supported by the information in the retrieved chunk [1], which states that an account is locked after 5 consecutive failed login attempts.",5,directly answers the question with specific information,5,Retrieved: 1/1 expected sources,5,"The model answer fully matches the expected answer, including the specific number of failed login attempts.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. Nếu không có phản hồi trong 10 phút, ticket P1 sẽ tự động escalate lên Senior Engineer [2].
2. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) để khắc phục sự cố sau khi được Tech Lead phê duyệt bằng lời [1]. 

Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit và sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,The answer accurately reflects the escalation process for P1 incidents and the temporary permission granting process as described in the retrieved chunks.,5,"The answer directly explains the escalation process for P1 incidents, detailing specific steps and conditions.",5,Retrieved: 1/1 expected sources,4,"The model answer includes the key point about the automatic escalation of the P1 ticket to a Senior Engineer after 10 minutes, but it adds additional information about temporary permissions that are not part of the expected answer.",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information provided in chunk [1], stating that the Approval Matrix for system access is the previous name of the document.",5,The answer directly provides the name of the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,2,The model answer mentions the old name of the document but does not include the new name 'Access Control SOP' or the file reference.,variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the retrieved chunk about remote work policy, including the maximum number of remote days and the requirement for Team Lead approval.",5,The answer directly specifies the maximum number of remote days allowed per week.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points: maximum of 2 remote days per week, after probation period, and requires Team Lead approval.",variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer 'Không đủ dữ liệu' does not relate to the provided chunks and lacks context.,1,The answer does not provide any information about ERR-403-AUTH or how to handle it.,,No expected sources,2,Model answer does not address the specific nature of the error or suggest contacting IT Helpdesk.,variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,The answer 'Không đủ dữ liệu' does not address the specific refund conditions or processes outlined in the retrieved chunks.,1,The answer does not address the question about whether the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,1,Model answer does not address the question or provide any relevant information.,variant_hybrid
